PHYSICIAN ASSISTANTS,PHYSICIAN ASSISTANTS,,
PHYSICIANS,PHYSICIANS,,
PIPELINES,PIPELINES,,
PLASTIC,PLASTIC,,
PLATS,PLATS,,
PLUMBERS,PLUMBERS,,
PLUMBERS AND PLUMBING,PLUMBERS,,
PLUMBING AND PLUMBERS,PLUMBERS,,
PODIATRY AND PODIATRISTS,PODIATRY AND PODIATRISTS,,
"PUBLIC POLICY, INSTITUTE",POLICY,,
"PUBLIC POLICY, INSTITUTE FOR",POLICY,,
PORT DISTRICTS,PORTS,PARKS AND NATURAL RESOURCES,
PORTS,PORTS,PARKS AND NATURAL RESOURCES,
"PORTS, PUBLIC",PORTS,PARKS AND NATURAL RESOURCES,
PRINTERS AND PRINTING,PRINTERS AND PRINTING,,
PRISONERS OF WAR,PRISONERS OF WAR,,
PRIVATE INVESTIGATORS,PRIVATE INVESTIGATORS,,
PRIZES,PRIZES,,
PROCESS SERVERS,PROCESS SERVERS,,
PRODUCTIVITY BOARD,PRODUCTIVITY BOARD,,
PRODUCTS LIABILITY,PRODUCTS LIABILITY,,
"PROFESSIONAL ENGINEERS AND LAND SURVEYORS, STATE BOARD OF REGISTRATION FOR","PROFESSIONAL ENGINEERS AND LAND SURVEYORS, STATE BOARD OF REGISTRATION FOR",MAPPING,
PROFESSIONAL SERVICE CORPORATIONS,PROFESSIONAL SERVICE CORPORATIONS,,
ABANDONED PROPERTY,PROPERTY,,
ADVERSE POSSESSION,PROPERTY,,
DECEDENTS' ESTATES,PROPERTY,,
EMINENT DOMAIN,PROPERTY,,
ESTATES,PROPERTY,,
"ESTATES, TRUSTS, AND PROBATE",PROPERTY,,
PERSONAL PROPERTY,PROPERTY,,
PROPERTY,PROPERTY,,
PROPERTY MANAGEMENT,PROPERTY,,
REPOSSESSION,PROPERTY,,
SURPLUS PROPERTY,PROPERTY,,
TAKING OF PRIVATE PROPERTY,PROPERTY,,
TIMESHARE PROPERTIES,PROPERTY,,
UNCLAIMED PROPERTY,PROPERTY,,
PSYCHIATRY AND PSYCHIATRISTS,PSYCHIATRY AND PSYCHIATRISTS,,
PSYCHOLOGISTS,PSYCHOLOGISTS,,
PUBLIC BUILDINGS,PUBLIC BUILDINGS,,
PUBLIC CORPORATIONS,PUBLIC CORPORATIONS,,
PUBLIC DEBTS,PUBLIC DEBTS,,
PUBLIC DEPOSITARIES,PUBLIC DEPOSITARIES,,
PUBLIC FACILITIES,PUBLIC FACILITIES,,
PUBLIC FACILITIES DISTRICTS,PUBLIC FACILITIES,,
PUBLIC FUNDS AND ACCOUNTS,PUBLIC FUNDS AND ACCOUNTS,,
"PUBLIC GUARDIANSHIP, OFFICE","PUBLIC GUARDIANSHIP, OFFICE",,
STATE LANDS,PUBLIC LANDS AND NATURAL RESOURCES,,
PUBLIC OFFICERS AND EMPLOYEES,PUBLIC OFFICERS AND EMPLOYEES,,
BRIDGES,PUBLIC WORKS,,
PUBLIC WORKS,PUBLIC WORKS,,
PUBLIC WORKS BOARD,PUBLIC WORKS,,
PUBLISHERS AND PUBLICATIONS,PUBLISHERS AND PUBLICATIONS,,
PUGET SOUND,PUGET SOUND,,
PUGET SOUND ACTION TEAM,PUGET SOUND,,
PUGET SOUND PARTNERSHIP,PUGET SOUND,,
RADIOLOGIC TECHNOLOGISTS,RADIOLOGIC TECHNOLOGISTS,,
RADON,RADON,,
RAFFLES,RAFFLES,,
REAL ESTATE AND REAL PROPERTY,PROPERTY,,
REAL ESTATE APPRAISERS,PROPERTY,,
REAL ESTATE COMMISSION,PROPERTY,,
RECALL,RECALL,,
RECEIVERS AND RECEIVERSHIP,RECEIVERS AND RECEIVERSHIP,,
RECLAMATION DISTRICTS,RECLAMATION DISTRICTS,,
RECORDING,RECORDS,,
RECORDING RIGHTS,RECORDS,,
RECORDINGS,RECORDS,,
DEEDS,RECORDS,,
GOVERNMENT DOCUMENTS,RECORDS,,
NOTARIES PUBLIC,RECORDS,,
PUBLIC RECORDS,RECORDS,,
RECORDS,RECORDS,,
VITAL RECORDS,RECORDS,HEALTH,
VITAL STATISTICS,RECORDS,HEALTH,
BIRTH CERTIFICATES,RECORDS  ,,
ARCHIVES,RECORDS ,,
ARCHIVES AND RECORD MANAGEMENT,RECORDS ,,
ARCHIVES AND RECORDS MANAGEMENT,RECORDS ,,
"ARCHIVIST, STATE",RECORDS ,,
ALL-TERRAIN VEHICLES,RECREATION AND SPORTS,TRANSPORTATION,
ATHLETIC COMMISSION,RECREATION AND SPORTS,,
BUNGEE JUMPING,RECREATION AND SPORTS,,
CAMPS AND CAMPING,RECREATION AND SPORTS,,
CLUBS,RECREATION AND SPORTS,,
"DIVERS, RECREATIONAL",RECREATION AND SPORTS,,
"FISHING, RECREATIONAL",RECREATION AND SPORTS,FISH AND WILDLIFE,
GOLF CLUBS,RECREATION AND SPORTS,,
HOBBIES,RECREATION AND SPORTS,,
HUNTING,RECREATION AND SPORTS,,
INTERAGENCY COMMITTEE FOR OUTDOOR RECREATION,RECREATION AND SPORTS,,
JET SKIS,RECREATION AND SPORTS,,
MARTIAL ARTS,RECREATION AND SPORTS,,
OUTDOOR RECREATION,RECREATION AND SPORTS,PARKS AND NATURAL RESOURCES,
"OUTDOOR RECREATION, INTERAGENCY COMMITTEE FOR",RECREATION AND SPORTS,PARKS AND NATURAL RESOURCES,
PARK AND RECREATION DISTRICTS,RECREATION AND SPORTS,PARKS AND NATURAL RESOURCES,
"PARKS, RECREATION, AND SPORTS COMMISSION",RECREATION AND SPORTS,PARKS AND NATURAL RESOURCES,
PERSONAL FLOTATION DEVICES,RECREATION AND SPORTS,,
RECREATION,RECREATION AND SPORTS,,
RECREATION AND CONSERVATION OFFICE,RECREATION AND SPORTS,ENVIRONMENT,
RECREATIONAL VEHICLES,RECREATION AND SPORTS,TRANSPORTATION,
SKIING,RECREATION AND SPORTS,,
SNOWMOBILES,RECREATION AND SPORTS,TRANSPORTATION,
SPORTS,RECREATION AND SPORTS,,
SPORTS AND RECREATION,RECREATION AND SPORTS,,
STADIUMS AND OTHER VENUES,RECREATION AND SPORTS,,
SWIMMING POOLS,RECREATION AND SPORTS,,
THEATERS,RECREATION AND SPORTS,,
THEATRES,RECREATION AND SPORTS,,
TRAVEL AGENCIES AND AGENTS,RECREATION AND SPORTS,,
TRAVEL CHARTER AND TOUR OPERATORS,RECREATION AND SPORTS,,
TRAVEL TRAILERS AND CAMPERS,RECREATION AND SPORTS,TRANSPORTATION,
WHITEWATER RIVER RAFTING,RECREATION AND SPORTS,,
TAXES - REFERENDUM MEASURES,REFERENDUM,,
REFRIGERATION AND AIR CONDITIONING,REFRIGERATION AND AIR CONDITIONING,,
RELIGION,RELIGION,,
RELIGION AND RELIGIOUS ORGANIZATIONS,RELIGION,,
RESIDENCY,RESIDENCY,,
RESIDENTIAL CARE,RESIDENTIAL CARE,,
RESPIRATORY CARE PRACTITIONERS,RESPIRATORY CARE PRACTITIONERS,,
RESTAURANTS,RESTAURANTS,,
RESTROOMS,RESTROOMS,,
"RESTROOMS, PUBLIC",RESTROOMS,,
RETIREMENT AND PENSIONS,RETIREMENT,,
RETIREMENT CENTERS,RETIREMENT,,
"RETIREMENT SYSTEMS, DEPARTMENT",RETIREMENT,,
REWARDS,REWARDS,,
"RIEGER, ERWIN O.","RIEGER, ERWIN O.",,
COLUMBIA RIVER,RIVER,,
COLUMBIA RIVER GORGE COMMISSION,RIVER,,
COWLITZ RIVER,RIVER,,
DEWATTO RIVER,RIVER,,
DUNGENESS RIVER,RIVER,,
GREEN RIVER,RIVER,,
SCENIC RIVER SYSTEM,RIVER,,
SKAGIT RIVER,RIVER,,
SNAKE RIVER,RIVER,,
SNOQUALMIE RIVER,RIVER,,
TAHUYA RIVER,RIVER,,
TOUTLE RIVER,RIVER,,
YAKIMA RIVER,RIVER,,
ROCKS AND MINERALS,ROCKS AND MINERALS,,
RODENTS,RODENTS,,
RODEOS,RODEOS,,
RUSSIA,RUSSIA,,
ASBESTOS,SAFETY,,
CONSUMER PROTECTION,SAFETY,,
CONSUMER REPORTING AGENCIES,SAFETY,,
HAZARDOUS MATERIALS,SAFETY,ENVIRONMENT,
INDUSTRIAL SAFETY,SAFETY,,
INDUSTRIAL SAFETY AND HEALTH,SAFETY,HEALTH,
MARINE SAFETY,SAFETY,MARINE,
"MARINE SAFETY, OFFICE",SAFETY,MARINE,
MERCURY,SAFETY,ENVIRONMENT,
MODEL TOXICS CONTROL ACT,SAFETY,ENVIRONMENT,
PUBLIC SAFETY,SAFETY,,
PUBLIC SAFETY EMPLOYEES' RETIREMENT SYSTEM,SAFETY,PUBLIC EMPLOYEES,
PUBLIC SAFETY TESTING LABORATORIES,SAFETY,,
SAN JUAN ISLANDS,SAN JUAN ISLANDS,,
SAND AND GRAVEL,SAND AND GRAVEL,,
SATSOP,SATSOP,,
SCATTER CREEK,SCATTER CREEK,,
AERONAUTICS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS", ,
BIOTECHNOLOGY,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
CELL PHONES,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
COMPUTERS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
CONSOLIDATED TECHNOLOGY SERVICES AGENCY,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
ELECTRONIC EQUIPMENT,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
ELECTRONIC PRODUCTS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
ELECTRONICS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
GLOBAL HEALTH TECHNOLOGIES AND PRODUCT DEVELOPMENT COMPETITIVENESS PROGRAM,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",HEALTH,"ECONOMY, DEVELOPMENT AND INTERNATIONAL"
INTERCEPTION OF COMMUNICATIONS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
INTERNET,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
LIFE SCIENCES DISCOVERY FUND,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
LIFE SCIENCES DISCOVERY FUND AUTHORITY,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
MANUFACTURING AND TECHNOLOGY,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",MANUFACTURING,
PACIFIC SCIENCE CENTER,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
PRIVILEGED COMMUNICATIONS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
RADIO,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
SCIENCE,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
TECHNOLOGY,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
TELECOMMUNICATIONS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
TELEGRAPH COMPANIES,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
TELEPHONE SOLICITATION,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",BUSINESS,
TELEPHONES,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
TELEVISION,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",TELEVISION,
TELEVISION AND TELEVISIONS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
TELEWORK,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",LABOR AND EMPLOYMENT,
VIDEO AND VIDEO GAMES,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
VIDEO COMMUNICATIONS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
VIDEO DISPLAY TERMINALS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
VIDEO GAMES,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
VIDEOTAPE,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
WASHINGTON INFORMATION NETWORK 211,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",,
SEA GRANT PROGRAM,SEA GRANT PROGRAM,,
SEAT BELTS,SEAT BELTS,SAFETY,
SECURITY GUARDS AND FIRMS,SECURITY GUARDS AND FIRMS,,
SECURITY INTERESTS,SECURITY INTERESTS,,
SELECTIVE SERVICE,SELECTIVE SERVICE,,
SELF DEFENSE,SELF DEFENSE,,
SELF-SERVICE STORAGE FACILITIES,SELF-SERVICE STORAGE FACILITIES,,
SENIOR CITIZENS,SENIOR CITIZENS,,
SERVICE CORPS,SERVICE CORPS,,
SERVICE DISTRICTS,SERVICE DISTRICTS,,
SERVICE STATIONS,SERVICE STATIONS,,
SHELTERED WORKSHOPS,SHELTERED WORKSHOPS,,
SHOOTING RANGES,SHOOTING RANGES,WEAPONS,
SHOPPING CENTERS,SHOPPING CENTERS,,
SHORELINE,SHORELINE,,
SIDEWALKS,SIDEWALKS,,
SIGN LANGUAGE,SIGN LANGUAGE,,
SLUDGE,SLUDGE,,
SMALL WORKS ROSTERS,SMALL WORKS ROSTERS,,
SMELTING,SMELTING,,
SMOKE DETECTORS,SMOKE DETECTORS,,
MARITIME HISTORY,SOCIAL SCIENCES AND HISTORY,MARINE,
CENTER FOR VOLUNTARY ACTION,SOCIAL WELFARE,,
COMMUNITY ACTION AGENCIES,SOCIAL WELFARE,,
FOOD BANKS,SOCIAL WELFARE,,
FOOD STAMPS,SOCIAL WELFARE,,
HOMELESS PERSONS,SOCIAL WELFARE,,
HUNGER,SOCIAL WELFARE,,
LOW-INCOME PERSONS,SOCIAL WELFARE,,
POVERTY,SOCIAL WELFARE,,
"PUBLIC ADVOCATE, OFFICE",SOCIAL WELFARE,,
PUBLIC ASSISTANCE,SOCIAL WELFARE,,
PUBLIC SERVICE COMPANIES,SOCIAL WELFARE,,
SELF-ESTEEM,SOCIAL WELFARE,"CIVIL RIGHTS AND LIBERTIES, MINORITY ISSUES",
"SOCIAL AND HEALTH SERVICES, DEPARTMENT",SOCIAL WELFARE,HEALTH,
SOCIAL SECURITY,SOCIAL WELFARE,,
SOCIAL WELFARE SERVICES,SOCIAL WELFARE,,
VIOLENCE PREVENTION,SOCIAL WELFARE,LAW AND JUSTICE,
SOMATIC EDUCATION PRACTITIONERS,SOMATIC EDUCATION PRACTITIONERS,,
SOUTH AFRICA,SOUTH AFRICA,,
SPACEPORTS,SPACEPORTS,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",TRANSPORTATION
"SPAS, HOT TUBS, AND SWIMMING POOLS","SPAS, HOT TUBS, AND SWIMMING POOLS",,
SPECIAL AND SPECIAL PURPOSE DISTRICTS,SPECIAL PURPOSE DISTRICTS,,
SPECIAL DISTRICTS,SPECIAL PURPOSE DISTRICTS,,
SPECIAL PURPOSE DISTRICTS,SPECIAL PURPOSE DISTRICTS,,
SPEECH-LANGUAGE PATHOLOGISTS AND AUDIOLOGISTS,SPEECH-LANGUAGE PATHOLOGISTS AND AUDIOLOGISTS,,
STAMPEDE PASS,STAMPEDE PASS,,
STATE CENTENNIAL,STATE CENTENNIAL,,
STATE PATROL RETIREMENT SYSTEM,STATE PATROL RETIREMENT SYSTEM,,
STRAIT OF JUAN DE FUCA,STRAIT OF JUAN DE FUCA,,
STUDIES,STUDIES,,
STYROFOAM,STYROFOAM,,
SUBDIVISIONS,SUBDIVISIONS,,
SUNSET REVIEW,SUNSET REVIEW,,
SURETYSHIP AND GUARANTY,SURETYSHIP AND GUARANTY,,
SURGICAL TECHNOLOGISTS,SURGICAL TECHNOLOGISTS,,
GEODETIC SYSTEMS,SURVEYS AND MAPPING,,
GEOGRAPHIC INFORMATION,SURVEYS AND MAPPING,,
"GEOGRAPHIC NAMES, BOARD ON",SURVEYS AND MAPPING,,
MAPS AND MAPPING,SURVEYS AND MAPPING,,
SURVEYORS,SURVEYS AND MAPPING,,
SURVEYS AND MAPS,SURVEYS AND MAPPING,,
SURVIVAL OF ACTIONS,SURVIVAL OF ACTIONS,,
TAIPEI,TAIPEI,,
TAIWAN,TAIWAN,,
TANNING SALONS,TANNING SALONS,,
"TARTAN, STATE","TARTAN, STATE",,
TATTOOING AND TATTOO ARTISTS,TATTOOING AND TATTOO ARTISTS,,
TATTOOS AND TATTOOERS,TATTOOING AND TATTOO ARTISTS,,
CITIZEN COMMISSION FOR PERFORMANCE MEASUREMENT OF TAX PREFERENCES,TAXES,CITIZEN,
TAX APPEALS BOARD,TAXES,,
"TAX APPEALS, BOARD",TAXES,,
TAX CONSULTANTS AND PREPARERS,TAXES,,
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.",TAXES,,
TAXES,TAXES,,
TAXES - ADMISSIONS TAX,TAXES,,
TAXES - ADULT ENTERTAINMENT ADMISSIONS TAX,TAXES,,
TAXES - AIRCRAFT EXCISE TAX,TAXES,TRANSPORTATION,
TAXES - AIRCRAFT FUEL,TAXES,TRANSPORTATION,ENERGY
TAXES - AIRCRAFT FUEL TAX,TAXES,TRANSPORTATION,ENERGY
TAXES - ALCOHOL SALES TAX,TAXES,DRUGS AND ALCOHOL,
TAXES - ALCOHOL TAX,TAXES,DRUGS AND ALCOHOL,
TAXES - BASIC HEALTH PLAN EMPLOYER TAX,TAXES,HEALTH,
TAXES - BEER TAX,TAXES,DRUGS AND ALCOHOL,
TAXES - BORDER AREA MOTOR VEHICLE FUEL AND SPECIAL FUEL,TAXES,TRANSPORTATION,BOUNDARIES
TAXES - BUSINESS AND OCCUPATION,TAXES,BUSINESS,
TAXES - BUSINESS AND OCCUPATION TAX,TAXES,BUSINESS,
TAXES - CARBON TAX,TAXES,ENVIRONMENT,
TAXES - CARBONATED BEVERAGE TAX,TAXES,AGRICULTURE AND FOOD,
TAXES - CIGARETTE TAX,TAXES,TOBACCO,
TAXES - CIGARETTES,TAXES,TOBACCO,
TAXES - DEFERRALS FOR FRUIT AND VEGETABLE BUSINESSES,TAXES,AGRICULTURE AND FOOD,
TAXES - DEFERRED TAX PROGRAMS,TAXES,,
TAXES - DRUG FUND TAX,TAXES,DRUGS AND ALCOHOL,
TAXES - ENHANCED FOOD FISH,TAXES,AGRICULTURE AND FOOD,
TAXES - ENHANCED FOOD FISH TAX,TAXES,AGRICULTURE AND FOOD,
TAXES - ESTATE TAX,TAXES,PROPERTY,
TAXES - EXCISE,TAXES,,
TAXES - EXCISE TAX,TAXES,,
TAXES - FUEL,TAXES,TRANSPORTATION,
TAXES - GAMBLING TAX,TAXES,GAMBLING,
TAXES - HAZARDOUS SUBSTANCE TAX,TAXES,ENVIRONMENT,HEALTH
TAXES - HEALTH CARE PREPAYMENTS TAX,TAXES,HEALTH,
TAXES - INCOME TAX,TAXES,,
TAXES - INSURANCE PREMIUM TAX,TAXES,INSURANCE,
TAXES - LEASEHOLD EXCISE,TAXES,,
TAXES - LEASEHOLD EXCISE TAX,TAXES,,
TAXES - LIQUOR TAX,TAXES,DRUGS AND ALCOHOL,
TAXES - LITTER TAX,TAXES,,
TAXES - LOCAL BUSINESS ACTIVITIES TAX,TAXES,BUSINESS,
TAXES - LOCAL OPTION TRANSPORTATION,TAXES,TRANSPORTATION,
TAXES - LOCAL OPTION TRANSPORTATION TAXES,TAXES,TRANSPORTATION,
TAXES - LOCAL TRANSIT TAX,TAXES,TRANSPORTATION,
TAXES - LODGING TAX,TAXES,,
TAXES - LOST FISHING NET RECOVERY TAX,TAXES,FISH AND WILDLIFE,
TAXES - MEDICAID TAX,TAXES,HEALTH,
TAXES - MOTOR VEHICLE EXCISE,TAXES,TRANSPORTATION,
TAXES - MOTOR VEHICLE EXCISE TAX,TAXES,TRANSPORTATION,ENERGY
TAXES - MOTOR VEHICLE FUEL,TAXES,TRANSPORTATION,ENERGY
TAXES - MOTOR VEHICLE FUEL TAX,TAXES,TRANSPORTATION,ENERGY
TAXES - OIL AND HAZARDOUS SUBSTANCE SPILL PREVENTION TAX,TAXES,ENVIRONMENT,
TAXES - OIL HEAT TANK POLLUTION LIABILITY TAX,TAXES,ENVIRONMENT,
TAXES - OIL SPILL RESPONSE,TAXES,ENVIRONMENT,
TAXES - OIL SPILL RESPONSE TAX,TAXES,ENVIRONMENT,
TAXES - OUTDOOR EQUIPMENT TAX,TAXES,,
TAXES - PERSONAL PROPERTY TAX,TAXES,PROPERTY,
TAXES - PETROLEUM PRODUCTS TAX,TAXES,ENERGY,
TAXES - PREMIUM TAX,TAXES,,
TAXES - PRIVILEGE TAX,TAXES,,
TAXES - PROPERTY TAX,TAXES,PROPERTY,
TAXES - PUBLIC UTILITY TAX,TAXES,UTILITIES,
TAXES - REAL ESTATE EXCISE,TAXES,PROPERTY,
TAXES - SALES TAX,TAXES,COMMERCE,
TAXES - SNACK FOOD TAX,TAXES,COMMERCE,AGRICULTURE AND FOOD
TAXES - SOLID WASTE COLLECTION TAX,TAXES,WASTE,
TAXES - SPECIAL FUEL,TAXES,ENERGY,
TAXES - SPECIAL FUEL TAX,TAXES,ENERGY,
TAXES - SPORTING EVENTS ADMISSION TAX,TAXES,RECREATION AND SPORTS,
TAXES - SYRUP TAX,TAXES,AGRICULTURE AND FOOD,
TAXES - TELEPHONE ACCESS LINE USE,TAXES,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",
TAXES - TELEPHONE TAX,TAXES,"SCIENCE, TECHNOLOGY, COMMUNICATIONS",
TAXES - TIMBER HARVEST EXCISE,TAXES,PARKS AND NATURAL RESOURCES,
TAXES - TOBACCO PRODUCTS,TAXES,TOBACCO,
TAXES - TOBACCO PRODUCTS TAX,TAXES,TOBACCO,
TAXES - UNEMPLOYMENT COMPENSATION RESERVE TAX,TAXES,LABOR AND EMPLOYMENT,
TAXES - USE,TAXES,,
TAXES - USE TAX,TAXES,,
TAXES - UTILITY TAX,TAXES,UTILITIES,
TAXES - VEHICLE RENTAL TAX,TAXES,TRANSPORTATION,
TAXES - WATERCRAFT EXCISE TAX,TAXES,TRANSPORTATION,
TAXES - WATERCRAFT EXCISE TAXES,TAXES,TRANSPORTATION,
TAXES - WINE TAX,TAXES,DRUGS AND ALCOHOL,
"TAXES, GENERALLY",TAXES,,
TAXING DISTRICTS,TAXES,,
TERRORISM,TERRORISM,,
TICKETS,TICKETS,,
TIMBER AND TIMBER INDUSTRIES,TIMBER,PARKS AND NATURAL RESOURCES,
TIME,TIME,,
"TIME PERIODS, STATUTORY",TIME,,
TIRES,TIRES,,
TITLE COMPANIES,TITLE,,
TITLE ONLY,TITLE,,
TITLE ONLY BILLS,TITLE,,
CIGARETTES,TOBACCO,,
SMOKING,TOBACCO,HEALTH,
TOBACCO,TOBACCO,,
TOBACCO AND TOBACCO PRODUCTS,TOBACCO,,
TOW TRUCKS,TOWING AND TOW TRUCKS,,
TOWING AND TOW TRUCKS,TOWING AND TOW TRUCKS,,
PEDESTRIANS,TRAFFIC,,
TRAFFIC,TRAFFIC,,
TRAFFIC ACCIDENTS,TRAFFIC,SAFETY,
TRAFFIC OFFENSES,TRAFFIC,LAW AND JUSTICE,
TRAFFIC SAFETY COMMISSION,TRAFFIC,SAFETY,
TRAFFIC SAFETY EDUCATION,TRAFFIC,,
TRAFFIC SAFETY,TRAFFICE,SAFETY,
AIR TRANSPORTATION COMMISSION,TRANSPORTATION,,
AIRCRAFT,TRANSPORTATION,,
AIRLINES AND AIRPORTS,TRANSPORTATION,,
AIRPORT DISTRICTS,TRANSPORTATION,,
AIRPORTS,TRANSPORTATION,,
AVIATION,TRANSPORTATION,,
BICYCLES,TRANSPORTATION,RECREATION AND SPORTS,
BOATS,TRANSPORTATION,,
BOATS AND BOATING,TRANSPORTATION,,
BUSES,TRANSPORTATION,PUBLIC TRANSIT,
COMMERCIAL VESSELS AND SHIPPING,TRANSPORTATION,,
COMMUTING,TRANSPORTATION,,
DRIVER TRAINING AND DRIVER TRAINING SCHOOLS,TRANSPORTATION,,
DRIVER TRAINING SCHOOLS,TRANSPORTATION,,
DRIVERS AND DRIVERS' LICENSES,TRANSPORTATION,,
DRIVERS' LICENSES,TRANSPORTATION,,
FERRIES,TRANSPORTATION,,
LEGISLATIVE TRANSPORTATION COMMITTEE,TRANSPORTATION,GOVERNMENT OPERATIONS AND POLICY,
LICENSE PLATES,TRANSPORTATION,,
"MARINE TRANSPORTATION, DEPARTMENT",TRANSPORTATION,MARINE,
MONORAIL,TRANSPORTATION,,
MOTOR VEHICLES,TRANSPORTATION,,
MOTORCYCLES,TRANSPORTATION,,
PUBLIC TRANSIT,TRANSPORTATION,,
PUBLIC TRANSPORTATION BENEFIT AREAS,TRANSPORTATION,,
RAILROADS,TRANSPORTATION,,
RAPID TRANSIT,TRANSPORTATION,,
REGIONAL TRANSPORTATION INVESTMENT DISTRICTS,TRANSPORTATION,,
REGIONAL TRANSPORTATION PLANNING ORGANIZATIONS,TRANSPORTATION,,
ROAD IMPROVEMENT DISTRICTS,TRANSPORTATION,,
ROADS AND HIGHWAYS,TRANSPORTATION,,
SPEED LIMITS,TRANSPORTATION,TRAFFIC,
TAXES - MOTOR VEHICLE,TRANSPORTATION, ,
TAXES - WATERCRAFT EXCISE,TRANSPORTATION,TAXES,
TAXICABS,TRANSPORTATION,,
TRANSPORTATION,TRANSPORTATION,,
TRANSPORTATION BENEFIT AREAS,TRANSPORTATION,,
TRANSPORTATION BENEFIT DISTRICTS,TRANSPORTATION,,
TRANSPORTATION COMMISSION,TRANSPORTATION,,
TRANSPORTATION IMPROVEMENT BOARD,TRANSPORTATION,,
TRANSPORTATION PERMIT EFFICIENCY AND ACCOUNTABILITY COMMITTEE,TRANSPORTATION,,
"TRANSPORTATION, DEPARTMENT",TRANSPORTATION,,
TRUCKS AND TRUCKING,TRANSPORTATION,,
UTILITIES AND TRANSPORTATION COMMISSION,TRANSPORTATION,UTILITIES,
TRUST COMPANIES,TRUSTS,,
TRUSTS,TRUSTS,,
TRUSTS AND TRUSTEES,TRUSTS,,
TUNNELS,TUNNELS,,
UNDERGROUND FACILITIES,UNDERGROUND FACILITIES,,
UNDERGROUND STORAGE TANKS,UNDERGROUND STORGE TANKS,,
UNIFORM ACTS,UNIFORM ACTS,,
UNIFORMED PERSONNEL,UNIFORMED,,
UNIFORMED SERVICES,UNIFORMED,,
UNION BAY,UNION BAY,,
UNITED NATIONS,UNITED NATIONS,,
UNITED STATES,UNITED STATES,,
ELECTRIC UTILITIES,UTILITIES,,
ELECTRICAL BOARD,UTILITIES,,
ELECTRICAL INSTALLATIONS,UTILITIES,,
PUBLIC UTILITIES,UTILITIES,,
PUBLIC UTILITY DISTRICTS,UTILITIES,,
UTILITIES,UTILITIES,,
UTILITY LOCAL IMPROVEMENT DISTRICTS,UTILITIES,,
VENDING MACHINES,VENDING MACHINES,,
VETERINARIANS,VETERINARIANS,,
VOLUNTEERS,VOLUNTEERS,,
WAREHOUSES,WAREHOUSING,,
WAREHOUSING,WAREHOUSING,,
WASHINGTON STATE,WASHINGTON STATE,,
HAZARDOUS WASTE,WASTE,ENVIRONMENT,SAFETY
INFECTIOUS WASTE,WASTE,,
LANDFILLS,WASTE,,
RADIOACTIVE WASTE,WASTE,,
"SEPTIC SYSTEMS, ON-SITE",WASTE,,
SEWAGE,WASTE,,
SEWAGE AND SEWERS,WASTE,,
SEWER DISTRICTS,WASTE,,
SEWERS,WASTE,,
SOLID WASTE,WASTE,,
STORM SEWERS,WASTE,WATER,STORM
TAXES - SOLID WASTE COLLECTION,WASTE,,
WASTE,WASTE,,
WASTE DISPOSAL,WASTE,,
WASTEWATER,WASTE,,
WATER-SEWER DISTRICTS,WASTE,,
INTERAGENCY COMMITTEE FOR WATER RESOURCE FUNDING,WATER,PARKS AND NATURAL RESOURCES,
PUBLIC WATER SUPPLY SYSTEMS,WATER,,
STORM WATER CONTROL FACILITIES,WATER,STORM,
STORM WATER MANAGEMENT AND CONTROL,WATER,STORM,
